comment_id,fashion_house,comment,processed_text,bert_sentiment,vader_sentiment,emoji_analysis,emotions,aspects,subjectivity,language_features
2,Schiaparelli,Did it again❤️👏🙌, ❤ 👏 🙌,"{'positive': 0.6730619668960571, 'negative': 0.32693806290626526}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'sentiment': 0.6666666666666666, 'count': 3, 'frequencies': {'❤': 1, '👏': 1, '🙌': 1}}","{'anger': 0.04846687614917755, 'disgust': 0.013135689310729504, 'fear': 0.04546353593468666, 'joy': 0.3654722844560941, 'neutral': 0.7860085368156433, 'sadness': 0.03460175544023514, 'surprise': 0.008045668713748455}",{},0.0,"{'emojis': 3, 'words': 3, 'has_hashtags': False, 'has_mentions': False}"
22,Schiaparelli,Stunning!!!,stunning repeated,"{'positive': 0.6698260307312012, 'negative': 0.33017393946647644}","{'neg': 0.0, 'neu': 0.278, 'pos': 0.722, 'compound': 0.3818}","{'sentiment': 0.0, 'count': 0, 'frequencies': {}}","{'anger': 0.11644766479730606, 'disgust': 0.11599714308977127, 'fear': 0.017443740740418434, 'joy': 0.002890944480895996, 'neutral': 0.24150350689888, 'sadness': 0.04854266718029976, 'surprise': 0.45717424154281616}","{'aesthetic': {'score': np.float64(0.4912), 'count': 1, 'emoji_count': 0}}",1.0,"{'emojis': 0, 'words': 2, 'has_hashtags': False, 'has_mentions': False}"
8,Schiaparelli,Outdid yourself 🧡🧡,outdid 🧡 🧡,"{'positive': 0.6611263751983643, 'negative': 0.3388736844062805}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'sentiment': 0.0, 'count': 2, 'frequencies': {'🧡': 2}}","{'anger': 0.0755273625254631, 'disgust': 0.025497622787952423, 'fear': 0.042013440281152725, 'joy': 0.08010386675596237, 'neutral': 0.7038590312004089, 'sadness': 0.05568848177790642, 'surprise': 0.01731019839644432}",{},0.0,"{'emojis': 2, 'words': 3, 'has_hashtags': False, 'has_mentions': False}"
132,Schiaparelli,I need a documentary on this!,need documentary,"{'positive': 0.6877944469451904, 'negative': 0.31220558285713196}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'sentiment': 0.0, 'count': 0, 'frequencies': {}}","{'anger': 0.008433183655142784, 'disgust': 0.008100018836557865, 'fear': 0.017391104251146317, 'joy': 0.011622991412878036, 'neutral': 0.736833930015564, 'sadness': 0.12424007803201675, 'surprise': 0.09337862581014633}",{},0.0,"{'emojis': 0, 'words': 2, 'has_hashtags': False, 'has_mentions': False}"
133,Schiaparelli,We need long form Daniel Roseberry content please,need long form daniel roseberry content please,"{'positive': 0.6618634462356567, 'negative': 0.33813658356666565}","{'neg': 0.0, 'neu': 0.723, 'pos': 0.277, 'compound': 0.3182}","{'sentiment': 0.0, 'count': 0, 'frequencies': {}}","{'anger': 0.003984869457781315, 'disgust': 0.0015915795229375362, 'fear': 0.0026613809168338776, 'joy': 0.006659378297626972, 'neutral': 0.910880446434021, 'sadness': 0.026121364906430244, 'surprise': 0.04810097813606262}",{},0.4,"{'emojis': 0, 'words': 7, 'has_hashtags': False, 'has_mentions': False}"
134,Schiaparelli,loveeeeee. Majestuoso impresionante ❤️,love elongated impressive majestic ❤,"{'positive': 0.6647003889083862, 'negative': 0.33529961109161377}","{'neg': 0.0, 'neu': 0.211, 'pos': 0.789, 'compound': 0.8176}","{'sentiment': 0.0, 'count': 1, 'frequencies': {'❤': 1}}","{'anger': 0.016803262755274773, 'disgust': 0.0021627030801028013, 'fear': 0.02437514066696167, 'joy': 0.4410572052001953, 'neutral': 0.3326956033706665, 'sadness': 0.02203618735074997, 'surprise': 0.16086991131305695}",{},0.8,"{'emojis': 1, 'words': 5, 'has_hashtags': False, 'has_mentions': False}"
135,Schiaparelli,This dude is Beyond. So classy and not gross rude clothing.,dude beyond classy gross rude clothing,"{'positive': 0.6288564205169678, 'negative': 0.3711436092853546}","{'neg': 0.508, 'neu': 0.25, 'pos': 0.242, 'compound': -0.4939}","{'sentiment': 0.0, 'count': 0, 'frequencies': {}}","{'anger': 0.38848748803138733, 'disgust': 0.5760738849639893, 'fear': 0.003880748525261879, 'joy': 0.0012485566549003124, 'neutral': 0.016603728756308556, 'sadness': 0.011635547503829002, 'surprise': 0.0020701035391539335}",{},0.5,"{'emojis': 0, 'words': 6, 'has_hashtags': False, 'has_mentions': False}"
136,Schiaparelli,I love his work. He saved Couture Week again!!,love work saved couture week repeated,"{'positive': 0.6293523907661438, 'negative': 0.3706475794315338}","{'neg': 0.0, 'neu': 0.364, 'pos': 0.636, 'compound': 0.7906}","{'sentiment': 0.0, 'count': 0, 'frequencies': {}}","{'anger': 0.012324762530624866, 'disgust': 0.002722702454775572, 'fear': 0.001390216639265418, 'joy': 0.5652632713317871, 'neutral': 0.33581796288490295, 'sadness': 0.0073016369715332985, 'surprise': 0.07517942041158676}",{},0.6,"{'emojis': 0, 'words': 6, 'has_hashtags': False, 'has_mentions': False}"
137,Schiaparelli,I don’t mean to be ungrateful… but I really need more #prettyplease,mean ungrateful really need hashtag pretty please hashtag,"{'positive': 0.6337228417396545, 'negative': 0.36627718806266785}","{'neg': 0.218, 'neu': 0.363, 'pos': 0.419, 'compound': 0.4144}","{'sentiment': 0.0, 'count': 0, 'frequencies': {}}","{'anger': 0.9241489171981812, 'disgust': 0.01959340088069439, 'fear': 0.0011878811055794358, 'joy': 0.0013138969661667943, 'neutral': 0.009941293857991695, 'sadness': 0.04198623076081276, 'surprise': 0.0018283703830093145}",{},0.6291666666666667,"{'emojis': 0, 'words': 8, 'has_hashtags': True, 'has_mentions': False}"
138,Schiaparelli,lorde ❤️,lorde ❤,"{'positive': 0.6611441373825073, 'negative': 0.3388558626174927}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'sentiment': 0.0, 'count': 1, 'frequencies': {'❤': 1}}","{'anger': 0.01599767431616783, 'disgust': 0.005889951717108488, 'fear': 0.010437266901135445, 'joy': 0.0125650679692626, 'neutral': 0.9240550994873047, 'sadness': 0.012585623189806938, 'surprise': 0.018469313159585}",{},0.0,"{'emojis': 1, 'words': 2, 'has_hashtags': False, 'has_mentions': False}"
139,Schiaparelli,Fantastic! Fashion is alive!,fantastic fashion alive,"{'positive': 0.6528100371360779, 'negative': 0.34718987345695496}","{'neg': 0.0, 'neu': 0.139, 'pos': 0.861, 'compound': 0.7351}","{'sentiment': 0.0, 'count': 0, 'frequencies': {}}","{'anger': 0.003682994982227683, 'disgust': 0.0012504556216299534, 'fear': 0.0015368396416306496, 'joy': 0.951229453086853, 'neutral': 0.02099083922803402, 'sadness': 0.0030893548391759396, 'surprise': 0.01822003349661827}",{},0.65,"{'emojis': 0, 'words': 3, 'has_hashtags': False, 'has_mentions': False}"
